date,pos_tencent,neg_tencent,net_tencent,pos_alibaba,neg_alibaba,net_alibaba,pos_xiaomi,neg_xiaomi,net_xiaomi
2024-09-15,NaN,NaN,NaN,0.5048,0.5929,-0.0515,NaN,NaN,NaN
2024-09-16,NaN,NaN,NaN,NaN,NaN,NaN,0.5038,0.5681,-0.1575
2024-09-17,NaN,NaN,NaN,NaN,NaN,NaN,0.3779,0.5649,-0.257
2024-09-18,NaN,NaN,NaN,NaN,NaN,NaN,0.5328,0.4237,0.0567
2024-09-19,NaN,NaN,NaN,0.6284,0.4447,0.2112,NaN,NaN,NaN
2024-09-20,0.5387,0.4951,0.0347,NaN,NaN,NaN,NaN,NaN,NaN
2024-09-25,NaN,NaN,NaN,NaN,NaN,NaN,0.3996,0.5674,-0.2072
2024-09-26,NaN,NaN,NaN,0.6743,0.3335,0.3614,NaN,NaN,NaN
2024-10-01,NaN,NaN,NaN,NaN,NaN,NaN,0.549,0.4256,0.0939
2024-10-07,NaN,NaN,NaN,NaN,NaN,NaN,0.6595,0.3192,0.3182
2024-10-08,NaN,NaN,NaN,NaN,NaN,NaN,0.4947,0.4882,-0.0102
2024-10-09,0.6302,0.3713,0.2522,NaN,NaN,NaN,0.6099,0.3662,0.2313
2024-10-12,NaN,NaN,NaN,0.7392,0.2501,0.5046,0.7063,0.2746,0.4224
2024-10-14,NaN,NaN,NaN,0.8017,0.1876,0.6257,0.7696,0.4505,0.3993
2024-10-15,NaN,NaN,NaN,NaN,NaN,NaN,0.8054,0.3379,0.5276
2024-10-16,NaN,NaN,NaN,0.8359,0.1407,0.7039,0.8322,0.2534,0.6239
2024-10-18,NaN,NaN,NaN,0.8419,0.1055,0.7429,NaN,NaN,NaN
2024-10-20,NaN,NaN,NaN,0.881,0.0791,0.8068,0.8417,0.1901,0.6855
2024-10-21,NaN,NaN,NaN,0.909,0.3054,0.807,0.8759,0.1425,0.7587
2024-10-22,NaN,NaN,NaN,NaN,NaN,NaN,0.8873,0.1069,0.7994
2024-10-23,NaN,NaN,NaN,0.9311,0.2291,0.8546,0.8988,0.0802,0.8329
2024-10-24,NaN,NaN,NaN,NaN,NaN,NaN,0.9134,0.0601,0.864
2024-10-25,NaN,NaN,NaN,0.9458,0.1718,0.8885,0.8898,0.0451,0.8527
2024-10-26,NaN,NaN,NaN,NaN,NaN,NaN,0.9162,0.0338,0.8884
2024-10-28,NaN,NaN,NaN,0.9394,0.1288,0.8964,0.9321,0.2443,0.7909
2024-10-29,NaN,NaN,NaN,NaN,NaN,NaN,0.9312,0.4315,0.7945
2024-10-30,NaN,NaN,NaN,0.9235,0.0966,0.8913,0.932,0.3236,0.8294
2024-10-31,NaN,NaN,NaN,0.9415,0.3219,0.8099,0.9473,0.3997,0.658
2024-11-01,0.7225,0.2785,0.439,NaN,NaN,NaN,0.927,0.5267,0.579
2024-11-02,NaN,NaN,NaN,NaN,NaN,NaN,0.9064,0.6312,0.3712
2024-11-03,NaN,NaN,NaN,0.9557,0.4888,0.7928,NaN,NaN,NaN
2024-11-05,NaN,NaN,NaN,NaN,NaN,NaN,0.9283,0.4734,0.5269
2024-11-06,0.7915,0.2089,0.5789,NaN,NaN,NaN,0.9447,0.355,0.6436
2024-11-07,0.745,0.1566,0.5855,NaN,NaN,NaN,NaN,NaN,NaN
2024-11-08,0.8071,0.1175,0.6875,NaN,NaN,NaN,0.7085,0.5116,0.2374
2024-11-09,0.8386,0.334,0.4978,NaN,NaN,NaN,NaN,NaN,NaN
2024-11-10,0.629,0.4963,0.1275,0.9483,0.3666,0.8261,NaN,NaN,NaN
2024-11-11,NaN,NaN,NaN,0.9606,0.5209,0.7032,0.766,0.3837,0.4127
2024-11-12,0.7179,0.3722,0.3418,NaN,NaN,NaN,0.8145,0.2878,0.5495
2024-11-13,0.7864,0.2792,0.5043,NaN,NaN,NaN,0.8559,0.4574,0.3318
2024-11-14,0.8351,0.4568,0.4061,NaN,NaN,NaN,0.819,0.3431,0.426
2024-11-15,NaN,NaN,NaN,NaN,NaN,NaN,0.7998,0.4476,0.4208
2024-11-18,NaN,NaN,NaN,NaN,NaN,NaN,0.8491,0.583,0.3754
2024-11-19,NaN,NaN,NaN,NaN,NaN,NaN,0.8865,0.687,0.1974
2024-11-20,NaN,NaN,NaN,NaN,NaN,NaN,0.9144,0.5153,0.3975
2024-11-21,NaN,NaN,NaN,NaN,NaN,NaN,0.933,0.6253,0.2426
2024-11-22,NaN,NaN,NaN,NaN,NaN,NaN,0.9386,0.6803,0.0812
2024-11-23,NaN,NaN,NaN,NaN,NaN,NaN,0.7039,0.7597,-0.1885
2024-11-25,NaN,NaN,NaN,NaN,NaN,NaN,0.7772,0.5698,0.1079
2024-11-28,NaN,NaN,NaN,NaN,NaN,NaN,0.8143,0.677,-0.0654
