date,pos_sentiment,neg_sentiment,net_sentiment,topic_count,pos_heat,neg_heat,total_heat,pos_sentiment_smooth,neg_sentiment_smooth,net_sentiment_smooth
2025-03-05,0.993,0.0,0.993,1,112276,0,112276,0.8752,0.0917,0.7834
2025-03-19,0.9653,0.0,0.9653,2,411524,0,411524,0.8977,0.0688,0.8288
2025-03-25,0.9795,0.0,0.9795,1,161605,0,161605,0.9181,0.0516,0.8665
2025-03-26,0.9994,0.0,0.9994,1,129069,0,129069,0.9385,0.0387,0.8997
2025-04-02,0.0,0.9967,-0.9967,1,0,1217357,1217357,0.7038,0.2782,0.4256
2025-04-09,0.0,0.8285,-0.8285,1,0,1161078,1161078,0.5279,0.4158,0.1121
2025-04-10,0.9912,0.0,0.9912,1,562510,0,562510,0.6437,0.3118,0.3319
2025-04-11,0.9912,0.0,0.9912,1,28822,0,28822,0.7306,0.2339,0.4967
2025-04-17,0.9969,0.0,0.9969,2,281197,0,281197,0.7972,0.1754,0.6218
2025-04-18,0.999,0.0,0.999,1,147457,0,147457,0.8476,0.1316,0.7161
2025-04-22,0.9924,0.0,0.9924,2,653841,0,653841,0.8838,0.0987,0.7851
2025-05-06,0.9994,0.0,0.9994,1,682806,0,682806,0.9127,0.074,0.8387
2025-05-08,0.9981,0.0,0.9981,1,57628,0,57628,0.9341,0.0555,0.8786
2025-05-09,0.9936,0.0,0.9936,1,342052,0,342052,0.9489,0.0416,0.9073
2025-05-10,0.9831,0.0,0.9831,1,296355,0,296355,0.9575,0.0312,0.9263
2025-05-13,0.9675,0.0,0.9675,1,811145,0,811145,0.96,0.0234,0.9366
2025-05-14,0.9803,0.0,0.9803,2,172768,0,172768,0.9651,0.0176,0.9475
2025-05-15,0.9762,0.0,0.9762,2,82352,0,82352,0.9678,0.0132,0.9547
2025-05-19,0.9858,0.0,0.9858,1,177208,0,177208,0.9723,0.0099,0.9625
2025-05-20,0.9946,0.0,0.9946,1,233018,0,233018,0.9779,0.0074,0.9705
2025-05-27,0.0,0.9828,-0.9828,1,0,302095,302095,0.7334,0.2513,0.4822
2025-05-29,0.978,0.0,0.978,1,203296,0,203296,0.7946,0.1884,0.6061
2025-06-01,0.9994,0.0,0.9994,1,350343,0,350343,0.8458,0.1413,0.7044
2025-06-07,0.9408,0.0,0.9408,1,269103,0,269103,0.8695,0.106,0.7635
2025-06-12,0.0,0.9285,-0.9285,1,0,343918,343918,0.6521,0.3116,0.3405
2025-06-22,0.9756,0.9842,0.2363,4,542659,328691,871350,0.733,0.4798,0.3145
2025-06-23,0.9908,0.0,0.9908,2,753160,0,753160,0.7975,0.3598,0.4836
2025-06-24,0.9937,0.0,0.9937,1,93297,0,93297,0.8465,0.2699,0.6111
2025-07-08,0.0,0.8578,-0.8578,1,0,287210,287210,0.6349,0.4169,0.2439
