rank,keyword,category,hot_value,date
357,小米手机维修备件价格公布,互联网,95586,2025-09-29
361,小米王化回应订单削减,科技,94286,2025-09-29
11,小米悠悠去世,暂无,1359001,2025-06-24
94,小米MIXFlip2真好看,数码,430903,2025-06-24
120,小米15SPro一个月实测分享,数码,365558,2025-06-24
160,小米MIXFlip2满分小折,数码,303581,2025-06-24
276,何小鹏与雷军商量过G7和YU7上市时间,汽车,183020,2025-06-24
287,小米YU7支持车外小爱语音,汽车,171061,2025-06-24
299,小米新手表手环曝光,互联网,94736,2026-01-16
352,雷军说别人可以我一说就惨了,社会,84196,2026-01-16
368,新一代小米SU7九款颜色公布,互联网,78751,2026-01-16
408,新一代小米SU7共有6款轮毂,互联网,35934,2026-01-16
93,雷军晒黑神话悟空实体版,财经,607736,2024-08-27
195,小米Tag追踪器售价69元起,互联网,181064,2026-03-02
258,小米人形机器人已能自主工作3小时,暂无,117210,2026-03-02
289,小米超跑线下实车曝光,科技,102921,2026-03-02
189,小米澎湃OS3发布会官宣,暂无,201953,2025-08-27
142,小米系全线大涨,财经,371350,2025-04-30
199,雷军回复五一要结婚网友,财经,262163,2025-04-30
259,湖北高校门口一小米汽车撞损护栏,社会,134990,2025-04-04
302,小米集团宣布自动股份回购计划,社会,89857,2026-01-22
153,雷军将启动法律程序,社会,255268,2025-06-10
80,小米YU7入门级版本,财经,155833,2026-04-09
214,小米行车记录自动存事故点前后视频,互联网,78134,2026-04-09
220,曝小米18ProMax设定8500mAh电池,互联网,74857,2026-04-09
74,小米SU7成20万以上轿车6月销量第一,互联网,329874,2026-07-13
154,雷军回应小米SU7上半年销量冠军,科技,211184,2026-07-13
48,广州一高校通报网传禁止小米汽车入校,财经-其他,410908,2026-06-29
195,广州某高校辟谣禁止小米汽车入校,社会,100169,2026-06-29
303,小米汽车获L3级自动驾驶路测牌照,互联网,113088,2025-12-19
139,小米su7掉落山崖,暂无,309614,2024-12-19
93,小米澎程发布会定档,财经,331386,2026-07-27
217,雷军介绍小米澎程N90Max,互联网,136094,2026-07-27
1,小米YU7,暂无,3518964,2024-12-09
98,小米YU7预计明年六七月上市,财经,467931,2024-12-09
250,小米SUV价格,汽车,235993,2024-12-09
313,雷军回应小米YU7为什么早公示,汽车,168508,2024-12-09
321,小米YU7怎么读,暂无,163738,2024-12-09
167,雷军透露小米下一步规划,社会,421756,2026-05-23
30,小米三款新车齐曝光,互联网,481213,2025-12-09
93,小米三折叠通过认证,互联网,283354,2025-12-09
300,小米汽车11月零售销量46249辆,互联网,116112,2025-12-09
311,雷军转发小米安全辅助驾驶实测,互联网,114540,2025-12-09
310,小米汽车新奖项,社会,108820,2025-11-13
7,雷军真去拧螺丝了,财经,1355462,2024-11-13
139,小米SU7破新车企10万台下线纪录,社会,342445,2024-11-13
258,王腾让雷军盖个被子别感冒了,财经,202026,2024-11-13
350,小米 超熟睡防侧漏,暂无,127740,2024-11-13
74,小米15Ultra夜神人像,数码,451605,2025-02-25
255,雷军感谢李想,社会,198851,2025-02-25
31,苹果华为小米集体降价,社会,648040,2026-05-17
85,小米部分机型可换更大容量电池,科技,341235,2026-05-17
96,苹果华为小米大幅降价原因,财经,304951,2026-05-17
130,小米YU7全系新增火山灰车漆,互联网,240442,2026-05-17
36,小米高管评老企业不敢承诺十年包修,数码,581563,2026-07-03
116,国家发改委赴小米集团开展工作调研,汽车,365530,2026-07-03
16,小米15,暂无,1595881,2024-10-29
17,小米SU7 Ultra,暂无,1472761,2024-10-29
24,小米15价格,数码,1236325,2024-10-29
28,小米发布会,互联网,1167007,2024-10-29
33,小米洗衣机,暂无,1006082,2024-10-29
40,小米15pro,暂无,841280,2024-10-29
43,小米全面支持苹果设备,暂无,819044,2024-10-29
59,小米创造纽北四门车记录,汽车,702789,2024-10-29
72,小米15或成iPhone杀手,数码,642460,2024-10-29
95,小米SU7 Ultra定价81.49万,暂无,541474,2024-10-29
132,小米SU7Ultra纽北最快四门车,暂无,467099,2024-10-29
143,小米15系列价格,互联网,417270,2024-10-29
